bpe_l,0.0005
bpe_w,0.0005
bpe_h,2e-08
bpe_mat,Au
bpe_adh_h,1e-10
bpe_adh_mat,Alkane-thiol
dielectric_h,1e-10
dielectric_mat,SiO2
dielectric_perm,4.6
L_bpe,0.0005
dielectric_thickness,1e-10
eps_dielectric,4.6
Ns,5e+18
Ka,6
Kb,2
channel_l,0.02
channel_w,0.00055
channel_h,3.9e-05
channel_mat_bw,SiO2
channel_mat_tw,PDMS
buffer_mat,KCl
buffer_conc,0.1
buffer_cond,0.00186
buffer_pH,6.3
buffer_perm,80.1
buffer_visc,0.001
buffer_temp,298
scope_type,Olympus iX73
scope_objective,LCPLFLN20xLCD
scope_mag,20
scope_na,0.45
scope_um_per_pix,1.55
ccd_type,iXon Ultra 897
ccd_img_acq_type,emcdd
ccd_exp_time,0.04
ccd_img_acq_rate,24.83
ccd_gain,5
fp_type,None
fp_diameter,1.8e-07
fp_concentration,2e-05
fp_mobility,-9e-08
mu,0.001
rho,1000
T,298
D,2e-09
c,0.1
sigma,0.00186
pH,6.3
c_H,0.0005011872336272725
eps_fluid,80.1
zeta_wall,-0.043800000000000006
z,1.0
L,0.02
W,0.00055
H,3.9e-05
dt,0.04027386226339106
p_d,1.8e-07
microns_to_pixels,0.6451612903225806
metadata,{'notes': 'everything went ok', 'transformer': 'BpeIceoDataset.__init__', 'params': {}, 'previous': []}
eps_0,8.854e-12
e,-1.602e-19
kb,1.3806e-23
Na,6.022e+23
R,8.1345
F,-96472.44
electric_field_strength,10000.0
lamb,3.072417274614746e-08
length_scale,3.9e-05
u,0.00031063196519999996
channel_confinement,0.00195
tau_bulk_diffusion,0.7605
Re,0.012
est_sigma,0.001502593939606066
est_channel_resistance,501290823.871469
est_channel_current,3.989700000000001e-07
u_eof,0.00031063196519999996
