# electric_fields,frequencys,dielectrics,buffers,U_true_est,UbyUo,raw_uvel_max,raw_slope,beta,delta,tau,d_eps,d_pKa,d_pKb,d_Ns,d_thick,b_conc,b_conduct,b_pH,b_viscosity,b_eps,b_debye,voltages,electrode_spacings,pivcorr
20000.0,100.0,SiO2,KCl,0.0052102845234339844,0.00288808875049364,1.44723391532898,-0.102284551187483,72.9724009407803,566.317936441153,5.59980962291512e-05,4.6,6.0,-2.0,5e+18,100.0,10000.0,1294.0,2.98,0.001,80.0,3.07094358640948e-09,200.0,0.01,1.80405969953085
25000.0,100.0,SiO2,KCl,0.005785903866774469,0.00320715745031298,2.47884678840637,-0.177476075406694,72.9724009407803,566.317936441153,5.59980962291512e-05,4.6,6.0,-2.0,5e+18,100.0,10000.0,1294.0,2.98,0.001,80.0,3.07094358640948e-09,250.0,0.01,1.80405981197145
25000.0,500.0,SiO2,KCl,0.0028239741464933937,0.00156534456353382,1.31495106220245,-0.0866222547845525,72.9724009407803,566.317936441153,5.59980962291512e-05,4.6,6.0,-2.0,5e+18,100.0,10000.0,1294.0,2.98,0.001,80.0,3.07094358640948e-09,250.0,0.01,1.80405912684053
30000.0,100.0,SiO2,KCl,0.005322365956880351,0.00295021801587302,3.36768317222595,-0.235091072812858,72.9724009407803,566.317936441153,5.59980962291512e-05,4.6,6.0,-2.0,5e+18,100.0,10000.0,1294.0,2.98,0.001,80.0,3.07094358640948e-09,300.0,0.01,1.80405852321574
30000.0,500.0,SiO2,KCl,0.0024017856948825244,0.00133132463111217,1.70345199108124,-0.106087934554804,72.9724009407803,566.317936441153,5.59980962291512e-05,4.6,6.0,-2.0,5e+18,100.0,10000.0,1294.0,2.98,0.001,80.0,3.07094358640948e-09,300.0,0.01,1.80405713133701
30000.0,1000.0,SiO2,KCl,0.002285690562646132,0.00126697350062056,1.16635954380035,-0.10096005037045,72.9724009407803,566.317936441153,5.59980962291512e-05,4.6,6.0,-2.0,5e+18,100.0,10000.0,1294.0,2.98,0.001,80.0,3.07094358640948e-09,300.0,0.01,1.80405553985668
30000.0,1500.0,SiO2,KCl,0.0019374297829300485,0.00107393136648696,1.18364489078522,-0.08557729486988,72.9724009407803,566.317936441153,5.59980962291512e-05,4.6,6.0,-2.0,5e+18,100.0,10000.0,1294.0,2.98,0.001,80.0,3.07094358640948e-09,300.0,0.01,1.8040536326523
20000.0,100.0,SiO2,NaCl,0.0046035569972035645,0.00255177650244166,1.28826093673706,-0.0903737166104737,72.9724009407803,566.317936441153,6.76578305513741e-05,4.6,6.0,-2.0,5e+18,100.0,10000.0,1071.0,2.98,0.001,80.0,3.07094358640948e-09,200.0,0.01,1.80405963954863
25000.0,100.0,SiO2,NaCl,0.003488365769924426,0.00193361990056223,1.44510638713837,-0.107001691247362,72.9724009407803,566.317936441153,6.76578305513741e-05,4.6,6.0,-2.0,5e+18,100.0,10000.0,1071.0,2.98,0.001,80.0,3.07094358640948e-09,250.0,0.01,1.80405971665379
30000.0,100.0,SiO2,NaCl,0.003423358539170496,0.00189758767956785,1.70474946498871,-0.151211171834044,72.9724009407803,566.317936441153,6.76578305513741e-05,4.6,6.0,-2.0,5e+18,100.0,10000.0,1071.0,2.98,0.001,80.0,3.07094358640948e-09,300.0,0.01,1.80405816080663
30000.0,500.0,SiO2,NaCl,0.00218028880245084,0.00120854774073771,1.32900810241699,-0.0963043352684255,72.9724009407803,566.317936441153,6.76578305513741e-05,4.6,6.0,-2.0,5e+18,100.0,10000.0,1071.0,2.98,0.001,80.0,3.07094358640948e-09,300.0,0.01,1.80405682701452
20000.0,100.0,SiO2,KCl,0.005761845495734118,0.00319382700779018,1.61916589736938,-0.113112577307897,72.9724009407803,179.085455896051,0.000218648376107176,4.6,6.0,-2.0,5e+18,100.0,1000.0,104.8,2.98,0.001,80.0,9.71117629894006e-09,200.0,0.01,1.80405685144505
25000.0,100.0,SiO2,KCl,0.004630967124133763,0.00256697366725501,2.07907652854919,-0.142049905311724,72.9724009407803,179.085455896051,0.000218648376107176,4.6,6.0,-2.0,5e+18,100.0,1000.0,104.8,2.98,0.001,80.0,9.71117629894006e-09,250.0,0.01,1.80405712111799
25000.0,500.0,SiO2,KCl,0.0037617965500772884,0.00208519444671519,1.37469708919525,-0.115389447695102,72.9724009407803,179.085455896051,0.000218648376107176,4.6,6.0,-2.0,5e+18,100.0,1000.0,104.8,2.98,0.001,80.0,9.71117629894006e-09,250.0,0.01,1.8040507234245
25000.0,1000.0,SiO2,KCl,0.0028114367972624805,0.00155841163178725,1.11917364597321,-0.0862386036740268,72.9724009407803,179.085455896051,0.000218648376107176,4.6,6.0,-2.0,5e+18,100.0,1000.0,104.8,2.98,0.001,80.0,9.71117629894006e-09,250.0,0.01,1.8040399211075
25000.0,2500.0,SiO2,KCl,0.002777702100774284,0.0015397564839022,0.987501680850983,-0.085206274427938,72.9724009407803,179.085455896051,0.000218648376107176,4.6,6.0,-2.0,5e+18,100.0,1000.0,104.8,2.98,0.001,80.0,9.71117629894006e-09,250.0,0.01,1.80398792264525
30000.0,100.0,SiO2,KCl,0.0038025430958925632,0.00210777195633304,2.26371788978577,-0.167959916112355,72.9724009407803,179.085455896051,0.000218648376107176,4.6,6.0,-2.0,5e+18,100.0,1000.0,104.8,2.98,0.001,80.0,9.71117629894006e-09,300.0,0.01,1.80405811191642
30000.0,500.0,SiO2,KCl,0.003030068394245414,0.00167959014373444,1.74032604694366,-0.133839820193622,72.9724009407803,179.085455896051,0.000218648376107176,4.6,6.0,-2.0,5e+18,100.0,1000.0,104.8,2.98,0.001,80.0,9.71117629894006e-09,300.0,0.01,1.80405225974254
30000.0,1000.0,SiO2,KCl,0.0028139818135359935,0.00155981663292213,1.30864918231964,-0.124295548211033,72.9724009407803,179.085455896051,0.000218648376107176,4.6,6.0,-2.0,5e+18,100.0,1000.0,104.8,2.98,0.001,80.0,9.71117629894006e-09,300.0,0.01,1.80404654889744
30000.0,1500.0,SiO2,KCl,0.002654500878334691,0.00147141138979914,1.28916215896606,-0.117250888007535,72.9724009407803,179.085455896051,0.000218648376107176,4.6,6.0,-2.0,5e+18,100.0,1000.0,104.8,2.98,0.001,80.0,9.71117629894006e-09,300.0,0.01,1.80405078874444
30000.0,2000.0,SiO2,KCl,0.0029057115014099197,0.00161067949510555,1.37557291984558,-0.128348606246981,72.9724009407803,179.085455896051,0.000218648376107176,4.6,6.0,-2.0,5e+18,100.0,1000.0,104.8,2.98,0.001,80.0,9.71117629894006e-09,300.0,0.01,1.80402836830024
30000.0,2500.0,SiO2,KCl,0.00234732284734018,0.00130115826833608,1.07649433612823,-0.103684097770629,72.9724009407803,179.085455896051,0.000218648376107176,4.6,6.0,-2.0,5e+18,100.0,1000.0,104.8,2.98,0.001,80.0,9.71117629894006e-09,300.0,0.01,1.80402561660845
30000.0,3000.0,SiO2,KCl,0.002450641941529359,0.00135844834910174,1.13972282409668,-0.108249315146521,72.9724009407803,179.085455896051,0.000218648376107176,4.6,6.0,-2.0,5e+18,100.0,1000.0,104.8,2.98,0.001,80.0,9.71117629894006e-09,300.0,0.01,1.8040008242859
30000.0,6000.0,SiO2,KCl,0.0022132070326035575,0.00122698569713865,1.08858752250671,-0.0977735822621902,72.9724009407803,179.085455896051,0.000218648376107176,4.6,6.0,-2.0,5e+18,100.0,1000.0,104.8,2.98,0.001,80.0,9.71117629894006e-09,300.0,0.01,1.80377573900396
30000.0,9000.0,SiO2,KCl,0.002379284025854723,0.00131915635185318,1.38970112800598,-0.105118293053772,72.9724009407803,179.085455896051,0.000218648376107176,4.6,6.0,-2.0,5e+18,100.0,1000.0,104.8,2.98,0.001,80.0,9.71117629894006e-09,300.0,0.01,1.8036406545079
30000.0,12000.0,SiO2,KCl,0.002140764396894661,0.00118717829201325,0.990798115730286,-0.0946014893773682,72.9724009407803,179.085455896051,0.000218648376107176,4.6,6.0,-2.0,5e+18,100.0,1000.0,104.8,2.98,0.001,80.0,9.71117629894006e-09,300.0,0.01,1.8032374844593
30000.0,15000.0,SiO2,KCl,0.0019909410044532325,0.0011045827496259,1.03989744186401,-0.0880197809866893,72.9724009407803,179.085455896051,0.000218648376107176,4.6,6.0,-2.0,5e+18,100.0,1000.0,104.8,2.98,0.001,80.0,9.71117629894006e-09,300.0,0.01,1.80243716926371
30000.0,21000.0,SiO2,KCl,0.0019796008611856894,0.00109879569118186,0.882061243057251,-0.0875586334475176,72.9724009407803,179.085455896051,0.000218648376107176,4.6,6.0,-2.0,5e+18,100.0,1000.0,104.8,2.98,0.001,80.0,9.71117629894006e-09,300.0,0.01,1.80160959591718
30000.0,24000.0,SiO2,KCl,0.001976180906944502,0.0010974320185126,0.907523393630981,-0.0874499678271952,72.9724009407803,179.085455896051,0.000218648376107176,4.6,6.0,-2.0,5e+18,100.0,1000.0,104.8,2.98,0.001,80.0,9.71117629894006e-09,300.0,0.01,1.8007319575229
15000.0,100.0,SiO2,NaCl,0.007950268093856547,0.00440688131696244,1.19785284996033,-0.0877916861558673,72.9724009407803,179.085455896051,0.000258626973092913,4.6,6.0,-2.0,5e+18,100.0,1000.0,88.6,2.98,0.001,80.0,9.71117629894006e-09,150.0,0.01,1.80405768207447
20000.0,100.0,SiO2,NaCl,0.00612652549163226,0.00339597231702056,1.76878249645233,-0.1202717555796,72.9724009407803,179.085455896051,0.000258626973092913,4.6,6.0,-2.0,5e+18,100.0,1000.0,88.6,2.98,0.001,80.0,9.71117629894006e-09,200.0,0.01,1.80405637022605
20000.0,500.0,SiO2,NaCl,0.004614316578294084,0.00255778109681782,1.39042901992798,-0.0905863753248998,72.9724009407803,179.085455896051,0.000258626973092913,4.6,6.0,-2.0,5e+18,100.0,1000.0,88.6,2.98,0.001,80.0,9.71117629894006e-09,200.0,0.01,1.8040310736657
